date,state,district,commodity,variety,market,min_price,max_price,modal_price
2025-01-01,Bihar,DistrictB,Onion,Common,MarketA,1841,2466,2153
2025-01-01,Bihar,DistrictC,Wheat,Common,MarketB,2148,2414,2281
2025-01-01,Bihar,DistrictC,Rice,Common,MarketB,1636,2149,1892
2025-01-01,Bihar,DistrictC,Tomato,Common,MarketB,1564,2341,1952
2025-01-01,Bihar,DistrictC,Potato,Common,MarketC,1505,1786,1645
2025-01-01,Bihar,DistrictC,Onion,Common,MarketB,2025,2428,2226
2025-01-01,West Bengal,DistrictA,Wheat,Common,MarketC,1804,2407,2105
2025-01-01,West Bengal,DistrictA,Rice,Common,MarketA,1535,2102,1818
2025-01-01,West Bengal,DistrictA,Tomato,Common,MarketA,2232,2548,2390
2025-01-01,West Bengal,DistrictA,Potato,Common,MarketC,1104,1798,1451
2025-01-01,West Bengal,DistrictA,Onion,Common,MarketB,1045,1575,1310
2025-01-01,West Bengal,DistrictB,Wheat,Common,MarketA,1959,2650,2304
2025-01-01,West Bengal,DistrictB,Rice,Common,MarketC,1844,2492,2168
2025-01-01,West Bengal,DistrictB,Tomato,Common,MarketC,2481,3227,2854
2025-01-01,West Bengal,DistrictB,Potato,Common,MarketC,1242,1648,1445
2025-01-01,West Bengal,DistrictB,Onion,Common,MarketC,1760,2074,1917
2025-01-01,West Bengal,DistrictC,Wheat,Common,MarketC,1396,1989,1692
2025-01-01,West Bengal,DistrictC,Rice,Common,MarketC,1977,2658,2317
2025-01-01,West Bengal,DistrictC,Tomato,Common,MarketC,1296,1673,1484
2025-01-01,West Bengal,DistrictC,Potato,Common,MarketC,1966,2480,2223
2025-01-01,West Bengal,DistrictC,Onion,Common,MarketA,1258,1464,1361
2025-01-01,Madhya Pradesh,DistrictA,Wheat,Common,MarketC,1160,1535,1347
2025-01-01,Madhya Pradesh,DistrictA,Rice,Common,MarketB,2025,2679,2352
2025-01-01,Madhya Pradesh,DistrictA,Tomato,Common,MarketA,1675,1902,1788
2025-01-01,Madhya Pradesh,DistrictA,Potato,Common,MarketC,2024,2411,2217
2025-01-01,Madhya Pradesh,DistrictA,Onion,Common,MarketA,2135,2644,2389
2025-01-01,Madhya Pradesh,DistrictB,Wheat,Common,MarketB,1438,2229,1833
2025-01-01,Madhya Pradesh,DistrictB,Rice,Common,MarketA,1594,2370,1982
2025-01-01,Madhya Pradesh,DistrictB,Tomato,Common,MarketC,1306,2039,1672
2025-01-01,Madhya Pradesh,DistrictB,Potato,Common,MarketA,2132,2703,2417
2025-01-01,Madhya Pradesh,DistrictB,Onion,Common,MarketA,1180,1735,1457
2025-01-01,Madhya Pradesh,DistrictC,Wheat,Common,MarketA,2489,3122,2805
2025-01-01,Madhya Pradesh,DistrictC,Rice,Common,MarketB,1913,2646,2279
2025-01-01,Madhya Pradesh,DistrictC,Tomato,Common,MarketC,2044,2627,2335
2025-01-01,Madhya Pradesh,DistrictC,Potato,Common,MarketB,1038,1522,1280
2025-01-01,Madhya Pradesh,DistrictC,Onion,Common,MarketA,1601,2397,1999
2025-01-02,Uttar Pradesh,DistrictA,Wheat,Common,MarketC,2359,2746,2552
2025-01-02,Uttar Pradesh,DistrictA,Rice,Common,MarketC,2266,2538,2402
2025-01-02,Uttar Pradesh,DistrictA,Tomato,Common,MarketB,1560,1860,1710
2025-01-02,Uttar Pradesh,DistrictA,Potato,Common,MarketB,1175,1612,1393
2025-01-02,Uttar Pradesh,DistrictA,Onion,Common,MarketB,2082,2380,2231
2025-01-02,Uttar Pradesh,DistrictB,Wheat,Common,MarketC,1870,2564,2217
2025-01-02,Uttar Pradesh,DistrictB,Rice,Common,MarketC,1754,2250,2002
2025-01-02,Uttar Pradesh,DistrictB,Tomato,Common,MarketB,2146,2574,2360
2025-01-02,Uttar Pradesh,DistrictB,Potato,Common,MarketA,2411,2750,2580
2025-01-02,Uttar Pradesh,DistrictB,Onion,Common,MarketC,2414,2883,2648
2025-01-02,Uttar Pradesh,DistrictC,Wheat,Common,MarketA,2035,2623,2329
2025-01-02,Uttar Pradesh,DistrictC,Rice,Common,MarketB,1505,1810,1657
2025-01-02,Uttar Pradesh,DistrictC,Tomato,Common,MarketA,2194,2462,2328
2025-01-02,Uttar Pradesh,DistrictC,Potato,Common,MarketA,1361,1993,1677
2025-01-02,Uttar Pradesh,DistrictC,Onion,Common,MarketB,1099,1307,1203
2025-01-02,Maharashtra,DistrictA,Wheat,Common,MarketA,1696,1924,1810
2025-01-02,Maharashtra,DistrictA,Rice,Common,MarketA,2137,2798,2467
2025-01-02,Maharashtra,DistrictA,Tomato,Common,MarketB,2166,2755,2460
2025-01-02,Maharashtra,DistrictA,Potato,Common,MarketA,1156,1690,1423
2025-01-02,Maharashtra,DistrictA,Onion,Common,MarketB,1259,1540,1399
2025-01-02,Maharashtra,DistrictB,Wheat,Common,MarketC,2464,2835,2649
2025-01-02,Maharashtra,DistrictB,Rice,Common,MarketB,1719,1993,1856
2025-01-02,Maharashtra,DistrictB,Tomato,Common,MarketB,1625,1886,1755
2025-01-02,Maharashtra,DistrictB,Potato,Common,MarketA,1319,1620,1469
2025-01-02,Maharashtra,DistrictB,Onion,Common,MarketB,1873,2327,2100
2025-01-02,Maharashtra,DistrictC,Wheat,Common,MarketB,1111,1623,1367
2025-01-02,Maharashtra,DistrictC,Rice,Common,MarketA,1460,2121,1790
2025-01-02,Maharashtra,DistrictC,Tomato,Common,MarketA,2115,2366,2240
2025-01-02,Maharashtra,DistrictC,Potato,Common,MarketA,1519,1816,1667
2025-01-02,Maharashtra,DistrictC,Onion,Common,MarketC,2397,3177,2787
2025-01-02,Bihar,DistrictA,Wheat,Common,MarketA,1556,1989,1772
2025-01-02,Bihar,DistrictA,Rice,Common,MarketB,1578,2319,1948
2025-01-02,Bihar,DistrictA,Tomato,Common,MarketC,1203,1431,1317
2025-01-02,Bihar,DistrictA,Potato,Common,MarketB,1473,1925,1699
2025-01-02,Bihar,DistrictA,Onion,Common,MarketB,1904,2489,2196
2025-01-02,Bihar,DistrictB,Wheat,Common,MarketA,1514,2143,1828
2025-01-02,Bihar,DistrictB,Rice,Common,MarketC,2164,2663,2413
2025-01-02,Bihar,DistrictB,Tomato,Common,MarketA,1310,1980,1645
2025-01-02,Bihar,DistrictB,Potato,Common,MarketC,2468,2839,2653
2025-01-02,Bihar,DistrictB,Onion,Common,MarketB,1046,1375,1210
2025-01-02,Bihar,DistrictC,Wheat,Common,MarketB,1057,1362,1209
2025-01-02,Bihar,DistrictC,Rice,Common,MarketA,1767,2349,2058
2025-01-02,Bihar,DistrictC,Tomato,Common,MarketC,2185,2670,2427
2025-01-02,Bihar,DistrictC,Potato,Common,MarketC,2477,3243,2860
2025-01-02,Bihar,DistrictC,Onion,Common,MarketB,1396,2110,1753
2025-01-02,West Bengal,DistrictA,Wheat,Common,MarketA,1312,1637,1474
2025-01-02,West Bengal,DistrictA,Rice,Common,MarketB,2221,2608,2414
2025-01-02,West Bengal,DistrictA,Tomato,Common,MarketB,1809,2492,2150
2025-01-02,West Bengal,DistrictA,Potato,Common,MarketB,1522,2075,1798
2025-01-02,West Bengal,DistrictA,Onion,Common,MarketB,1657,2453,2055
2025-01-02,West Bengal,DistrictB,Wheat,Common,MarketA,1555,2032,1793
2025-01-02,West Bengal,DistrictB,Rice,Common,MarketA,1490,1944,1717
2025-01-02,West Bengal,DistrictB,Tomato,Common,MarketB,1891,2632,2261
2025-01-02,West Bengal,DistrictB,Potato,Common,MarketC,1824,2352,2088
2025-01-02,West Bengal,DistrictB,Onion,Common,MarketA,2299,2986,2642
2025-01-02,West Bengal,DistrictC,Wheat,Common,MarketC,2298,2825,2561
2025-01-02,West Bengal,DistrictC,Rice,Common,MarketB,1726,2477,2101
2025-01-02,West Bengal,DistrictC,Tomato,Common,MarketB,1026,1308,1167
2025-01-02,West Bengal,DistrictC,Potato,Common,MarketC,1681,2293,1987
2025-01-02,West Bengal,DistrictC,Onion,Common,MarketC,1168,1596,1382
2025-01-02,Madhya Pradesh,DistrictA,Wheat,Common,MarketC,1366,2093,1729
2025-01-02,Madhya Pradesh,DistrictA,Rice,Common,MarketA,1523,1794,1658
2025-01-02,Madhya Pradesh,DistrictA,Tomato,Common,MarketA,1105,1586,1345
2025-01-02,Madhya Pradesh,DistrictA,Potato,Common,MarketA,1533,2001,1767
2025-01-02,Madhya Pradesh,DistrictA,Onion,Common,MarketB,1790,2007,1898
2025-01-02,Madhya Pradesh,DistrictB,Wheat,Common,MarketA,1116,1459,1287
2025-01-02,Madhya Pradesh,DistrictB,Rice,Common,MarketB,1550,2171,1860
2025-01-02,Madhya Pradesh,DistrictB,Tomato,Common,MarketB,2392,3149,2770
2025-01-02,Madhya Pradesh,DistrictB,Potato,Common,MarketB,1677,1982,1829
2025-01-02,Madhya Pradesh,DistrictB,Onion,Common,MarketB,2448,2719,2583
2025-01-02,Madhya Pradesh,DistrictC,Wheat,Common,MarketB,1445,1830,1637
2025-01-02,Madhya Pradesh,DistrictC,Rice,Common,MarketB,1149,1594,1371
2025-01-02,Madhya Pradesh,DistrictC,Tomato,Common,MarketC,2122,2599,2360
2025-01-02,Madhya Pradesh,DistrictC,Potato,Common,MarketB,1943,2597,2270
2025-01-02,Madhya Pradesh,DistrictC,Onion,Common,MarketB,1600,2032,1816
2025-01-03,Uttar Pradesh,DistrictA,Wheat,Common,MarketC,1250,1970,1610
2025-01-03,Uttar Pradesh,DistrictA,Rice,Common,MarketC,2075,2500,2287
2025-01-03,Uttar Pradesh,DistrictA,Tomato,Common,MarketC,2209,2442,2325
2025-01-03,Uttar Pradesh,DistrictA,Potato,Common,MarketC,1741,2071,1906
2025-01-03,Uttar Pradesh,DistrictA,Onion,Common,MarketB,1631,2273,1952
2025-01-03,Uttar Pradesh,DistrictB,Wheat,Common,MarketA,1758,2389,2073
2025-01-03,Uttar Pradesh,DistrictB,Rice,Common,MarketB,2426,2948,2687
2025-01-03,Uttar Pradesh,DistrictB,Tomato,Common,MarketA,1614,2142,1878
2025-01-03,Uttar Pradesh,DistrictB,Potato,Common,MarketB,1834,2154,1994
2025-01-03,Uttar Pradesh,DistrictB,Onion,Common,MarketC,2475,2803,2639
2025-01-03,Uttar Pradesh,DistrictC,Wheat,Common,MarketA,1028,1751,1389
2025-01-03,Uttar Pradesh,DistrictC,Rice,Common,MarketA,2320,2649,2484
2025-01-03,Uttar Pradesh,DistrictC,Tomato,Common,MarketC,2196,2419,2307
2025-01-03,Uttar Pradesh,DistrictC,Potato,Common,MarketC,2429,2984,2706
2025-01-03,Uttar Pradesh,DistrictC,Onion,Common,MarketC,2197,2425,2311
2025-01-03,Maharashtra,DistrictA,Wheat,Common,MarketB,1495,2045,1770
2025-01-03,Maharashtra,DistrictA,Rice,Common,MarketC,1298,1689,1493
2025-01-03,Maharashtra,DistrictA,Tomato,Common,MarketB,1769,2183,1976
2025-01-03,Maharashtra,DistrictA,Potato,Common,MarketC,1165,1907,1536
2025-01-03,Maharashtra,DistrictA,Onion,Common,MarketC,2255,2995,2625
2025-01-03,Maharashtra,DistrictB,Wheat,Common,MarketA,1505,2038,1771
2025-01-03,Maharashtra,DistrictB,Rice,Common,MarketC,2327,2963,2645
2025-01-03,Maharashtra,DistrictB,Tomato,Common,MarketB,1857,2449,2153
2025-01-03,Maharashtra,DistrictB,Potato,Common,MarketC,2172,2776,2474
2025-01-03,Maharashtra,DistrictB,Onion,Common,MarketB,2385,2963,2674
2025-01-03,Maharashtra,DistrictC,Wheat,Common,MarketA,2014,2769,2391
2025-01-03,Maharashtra,DistrictC,Rice,Common,MarketB,2040,2618,2329
2025-01-03,Maharashtra,DistrictC,Tomato,Common,MarketC,1898,2173,2035
2025-01-03,Maharashtra,DistrictC,Potato,Common,MarketB,1961,2408,2184
2025-01-03,Maharashtra,DistrictC,Onion,Common,MarketB,1725,2139,1932
2025-01-03,Bihar,DistrictA,Wheat,Common,MarketA,1068,1660,1364
2025-01-03,Bihar,DistrictA,Rice,Common,MarketC,1266,1534,1400
2025-01-03,Bihar,DistrictA,Tomato,Common,MarketB,2370,2992,2681
2025-01-03,Bihar,DistrictA,Potato,Common,MarketC,2197,2511,2354
2025-01-03,Bihar,DistrictA,Onion,Common,MarketB,2366,2942,2654
2025-01-03,Bihar,DistrictB,Wheat,Common,MarketC,1616,2354,1985
2025-01-03,Bihar,DistrictB,Rice,Common,MarketA,2025,2325,2175
2025-01-03,Bihar,DistrictB,Tomato,Common,MarketA,2081,2669,2375
2025-01-03,Bihar,DistrictB,Potato,Common,MarketC,1340,1559,1449
2025-01-03,Bihar,DistrictB,Onion,Common,MarketB,2340,2577,2458
2025-01-03,Bihar,DistrictC,Wheat,Common,MarketB,2409,2634,2521
2025-01-03,Bihar,DistrictC,Rice,Common,MarketC,2346,3058,2702
2025-01-03,Bihar,DistrictC,Tomato,Common,MarketC,1772,1984,1878
2025-01-03,Bihar,DistrictC,Potato,Common,MarketC,1920,2490,2205
2025-01-03,Bihar,DistrictC,Onion,Common,MarketB,1331,1791,1561
2025-01-03,West Bengal,DistrictA,Wheat,Common,MarketA,2228,2814,2521
2025-01-03,West Bengal,DistrictA,Rice,Common,MarketA,1467,2081,1774
2025-01-03,West Bengal,DistrictA,Tomato,Common,MarketB,2495,2798,2646
2025-01-03,West Bengal,DistrictA,Potato,Common,MarketB,2184,2583,2383
2025-01-03,West Bengal,DistrictA,Onion,Common,MarketB,1211,1918,1564
2025-01-03,West Bengal,DistrictB,Wheat,Common,MarketA,1883,2414,2148
2025-01-03,West Bengal,DistrictB,Rice,Common,MarketB,1550,2005,1777
2025-01-03,West Bengal,DistrictB,Tomato,Common,MarketA,1727,2098,1912
2025-01-03,West Bengal,DistrictB,Potato,Common,MarketC,1999,2696,2347
2025-01-03,West Bengal,DistrictB,Onion,Common,MarketC,2407,3195,2801
2025-01-03,West Bengal,DistrictC,Wheat,Common,MarketA,1991,2717,2354
2025-01-03,West Bengal,DistrictC,Rice,Common,MarketB,1830,2354,2092
2025-01-03,West Bengal,DistrictC,Tomato,Common,MarketB,2231,2599,2415
2025-01-03,West Bengal,DistrictC,Potato,Common,MarketB,2303,2807,2555
2025-01-03,West Bengal,DistrictC,Onion,Common,MarketA,1515,1804,1659
2025-01-03,Madhya Pradesh,DistrictA,Wheat,Common,MarketC,1059,1569,1314
2025-01-03,Madhya Pradesh,DistrictA,Rice,Common,MarketB,2023,2696,2359
2025-01-03,Madhya Pradesh,DistrictA,Tomato,Common,MarketA,1756,2034,1895
2025-01-03,Madhya Pradesh,DistrictA,Potato,Common,MarketC,2176,2776,2476
2025-01-03,Madhya Pradesh,DistrictA,Onion,Common,MarketB,1056,1441,1248
2025-01-03,Madhya Pradesh,DistrictB,Wheat,Common,MarketC,1604,1961,1782
2025-01-03,Madhya Pradesh,DistrictB,Rice,Common,MarketA,2382,3021,2701
2025-01-03,Madhya Pradesh,DistrictB,Tomato,Common,MarketB,1465,2110,1787
2025-01-03,Madhya Pradesh,DistrictB,Potato,Common,MarketB,1800,2487,2143
2025-01-03,Madhya Pradesh,DistrictB,Onion,Common,MarketC,2096,2312,2204
2025-01-03,Madhya Pradesh,DistrictC,Wheat,Common,MarketC,1730,2255,1992
2025-01-03,Madhya Pradesh,DistrictC,Rice,Common,MarketA,1612,2357,1984
2025-01-03,Madhya Pradesh,DistrictC,Tomato,Common,MarketA,1841,2242,2041
2025-01-03,Madhya Pradesh,DistrictC,Potato,Common,MarketB,1858,2457,2157
2025-01-03,Madhya Pradesh,DistrictC,Onion,Common,MarketC,1444,1865,1654
2025-01-04,Uttar Pradesh,DistrictA,Wheat,Common,MarketC,1591,1797,1694
2025-01-04,Uttar Pradesh,DistrictA,Rice,Common,MarketB,2017,2232,2124
2025-01-04,Uttar Pradesh,DistrictA,Tomato,Common,MarketB,1523,1743,1633
2025-01-04,Uttar Pradesh,DistrictA,Potato,Common,MarketA,1227,1714,1470
2025-01-04,Uttar Pradesh,DistrictA,Onion,Common,MarketA,2157,2639,2398
2025-01-04,Uttar Pradesh,DistrictB,Wheat,Common,MarketA,2089,2725,2407
2025-01-04,Uttar Pradesh,DistrictB,Rice,Common,MarketB,1933,2391,2162
2025-01-04,Uttar Pradesh,DistrictB,Tomato,Common,MarketA,1102,1868,1485
2025-01-04,Uttar Pradesh,DistrictB,Potato,Common,MarketA,2124,2521,2322
2025-01-04,Uttar Pradesh,DistrictB,Onion,Common,MarketA,1225,1887,1556
2025-01-04,Uttar Pradesh,DistrictC,Wheat,Common,MarketB,2049,2369,2209
2025-01-04,Uttar Pradesh,DistrictC,Rice,Common,MarketC,1505,1886,1695
2025-01-04,Uttar Pradesh,DistrictC,Tomato,Common,MarketC,1813,2555,2184
2025-01-04,Uttar Pradesh,DistrictC,Potato,Common,MarketB,1990,2462,2226
2025-01-04,Uttar Pradesh,DistrictC,Onion,Common,MarketB,1231,1850,1540
2025-01-04,Maharashtra,DistrictA,Wheat,Common,MarketA,1495,1718,1606
2025-01-04,Maharashtra,DistrictA,Rice,Common,MarketC,1501,1725,1613
2025-01-04,Maharashtra,DistrictA,Tomato,Common,MarketB,1287,1824,1555
2025-01-04,Maharashtra,DistrictA,Potato,Common,MarketC,2060,2396,2228
2025-01-04,Maharashtra,DistrictA,Onion,Common,MarketB,1319,1700,1509
2025-01-04,Maharashtra,DistrictB,Wheat,Common,MarketB,1085,1751,1418
2025-01-04,Maharashtra,DistrictB,Rice,Common,MarketC,1052,1486,1269
2025-01-04,Maharashtra,DistrictB,Tomato,Common,MarketC,1432,2127,1779
2025-01-04,Maharashtra,DistrictB,Potato,Common,MarketC,1099,1897,1498
2025-01-04,Maharashtra,DistrictB,Onion,Common,MarketC,1395,2121,1758
2025-01-04,Maharashtra,DistrictC,Wheat,Common,MarketA,1938,2600,2269
2025-01-04,Maharashtra,DistrictC,Rice,Common,MarketC,2387,2716,2551
2025-01-04,Maharashtra,DistrictC,Tomato,Common,MarketB,1243,1830,1536
2025-01-04,Maharashtra,DistrictC,Potato,Common,MarketC,1817,2182,1999
2025-01-04,Maharashtra,DistrictC,Onion,Common,MarketB,1058,1761,1409
2025-01-04,Bihar,DistrictA,Wheat,Common,MarketC,1122,1734,1428
2025-01-04,Bihar,DistrictA,Rice,Common,MarketC,2252,2725,2488
2025-01-04,Bihar,DistrictA,Tomato,Common,MarketB,2021,2782,2401
2025-01-04,Bihar,DistrictA,Potato,Common,MarketC,1117,1799,1458
2025-01-04,Bihar,DistrictA,Onion,Common,MarketC,1875,2534,2204
2025-01-04,Bihar,DistrictB,Wheat,Common,MarketC,1934,2211,2072
2025-01-04,Bihar,DistrictB,Rice,Common,MarketB,1294,1514,1404
2025-01-04,Bihar,DistrictB,Tomato,Common,MarketC,2194,2408,2301
2025-01-04,Bihar,DistrictB,Potato,Common,MarketA,1559,1844,1701
2025-01-04,Bihar,DistrictB,Onion,Common,MarketB,1371,2050,1710
2025-01-04,Bihar,DistrictC,Wheat,Common,MarketA,2174,2514,2344
2025-01-04,Bihar,DistrictC,Rice,Common,MarketA,2283,3003,2643
2025-01-04,Bihar,DistrictC,Tomato,Common,MarketA,1370,1988,1679
2025-01-04,Bihar,DistrictC,Potato,Common,MarketA,1660,2102,1881
2025-01-04,Bihar,DistrictC,Onion,Common,MarketC,1511,2265,1888
2025-01-04,West Bengal,DistrictA,Wheat,Common,MarketB,1225,1942,1583
2025-01-04,West Bengal,DistrictA,Rice,Common,MarketA,1717,1983,1850
2025-01-04,West Bengal,DistrictA,Tomato,Common,MarketC,1769,2367,2068
2025-01-04,West Bengal,DistrictA,Potato,Common,MarketC,1924,2603,2263
2025-01-04,West Bengal,DistrictA,Onion,Common,MarketB,1221,1576,1398
2025-01-04,West Bengal,DistrictB,Wheat,Common,MarketA,1427,1784,1605
2025-01-04,West Bengal,DistrictB,Rice,Common,MarketC,2439,2964,2701
2025-01-04,West Bengal,DistrictB,Tomato,Common,MarketC,2367,2828,2597
2025-01-04,West Bengal,DistrictB,Potato,Common,MarketB,1849,2277,2063
2025-01-04,West Bengal,DistrictB,Onion,Common,MarketC,2313,2559,2436
2025-01-04,West Bengal,DistrictC,Wheat,Common,MarketA,2237,2460,2348
2025-01-04,West Bengal,DistrictC,Rice,Common,MarketA,1273,2028,1650
2025-01-04,West Bengal,DistrictC,Tomato,Common,MarketC,2386,2965,2675
2025-01-04,West Bengal,DistrictC,Potato,Common,MarketA,2493,2808,2650
2025-01-04,West Bengal,DistrictC,Onion,Common,MarketB,2065,2643,2354
2025-01-04,Madhya Pradesh,DistrictA,Wheat,Common,MarketB,2229,2894,2561
2025-01-04,Madhya Pradesh,DistrictA,Rice,Common,MarketA,1117,1553,1335
2025-01-04,Madhya Pradesh,DistrictA,Tomato,Common,MarketA,2479,3153,2816
2025-01-04,Madhya Pradesh,DistrictA,Potato,Common,MarketB,1992,2496,2244
2025-01-04,Madhya Pradesh,DistrictA,Onion,Common,MarketC,1285,1812,1548
2025-01-04,Madhya Pradesh,DistrictB,Wheat,Common,MarketA,1062,1543,1302
2025-01-04,Madhya Pradesh,DistrictB,Rice,Common,MarketC,2316,2522,2419
2025-01-04,Madhya Pradesh,DistrictB,Tomato,Common,MarketC,1935,2226,2080
2025-01-04,Madhya Pradesh,DistrictB,Potato,Common,MarketC,2213,2888,2550
2025-01-04,Madhya Pradesh,DistrictB,Onion,Common,MarketB,2485,2737,2611
2025-01-04,Madhya Pradesh,DistrictC,Wheat,Common,MarketB,1485,2174,1829
2025-01-04,Madhya Pradesh,DistrictC,Rice,Common,MarketA,2387,2698,2542
2025-01-04,Madhya Pradesh,DistrictC,Tomato,Common,MarketC,2030,2426,2228
2025-01-04,Madhya Pradesh,DistrictC,Potato,Common,MarketB,1875,2441,2158
2025-01-04,Madhya Pradesh,DistrictC,Onion,Common,MarketC,1249,2043,1646
2025-01-05,Uttar Pradesh,DistrictA,Wheat,Common,MarketC,1871,2541,2206
2025-01-05,Uttar Pradesh,DistrictA,Rice,Common,MarketB,1918,2572,2245
2025-01-05,Uttar Pradesh,DistrictA,Tomato,Common,MarketB,2313,2915,2614
2025-01-05,Uttar Pradesh,DistrictA,Potato,Common,MarketC,1520,2023,1771
2025-01-05,Uttar Pradesh,DistrictA,Onion,Common,MarketA,1209,1449,1329
2025-01-05,Uttar Pradesh,DistrictB,Wheat,Common,MarketA,1233,2022,1627
2025-01-05,Uttar Pradesh,DistrictB,Rice,Common,MarketC,2426,2664,2545
2025-01-05,Uttar Pradesh,DistrictB,Tomato,Common,MarketC,1334,1869,1601
2025-01-05,Uttar Pradesh,DistrictB,Potato,Common,MarketC,2097,2487,2292
2025-01-05,Uttar Pradesh,DistrictB,Onion,Common,MarketA,2170,2653,2411
2025-01-05,Uttar Pradesh,DistrictC,Wheat,Common,MarketC,1928,2521,2224
2025-01-05,Uttar Pradesh,DistrictC,Rice,Common,MarketB,2045,2349,2197
2025-01-05,Uttar Pradesh,DistrictC,Tomato,Common,MarketB,2482,3113,2797
2025-01-05,Uttar Pradesh,DistrictC,Potato,Common,MarketC,1715,2135,1925
2025-01-05,Uttar Pradesh,DistrictC,Onion,Common,MarketA,2245,2702,2473
2025-01-05,Maharashtra,DistrictA,Wheat,Common,MarketA,2390,2938,2664
2025-01-05,Maharashtra,DistrictA,Rice,Common,MarketC,1737,2172,1954
2025-01-05,Maharashtra,DistrictA,Tomato,Common,MarketA,1711,2354,2032
2025-01-05,Maharashtra,DistrictA,Potato,Common,MarketC,1622,1827,1724
2025-01-05,Maharashtra,DistrictA,Onion,Common,MarketC,2127,2806,2466
2025-01-05,Maharashtra,DistrictB,Wheat,Common,MarketA,1256,1690,1473
2025-01-05,Maharashtra,DistrictB,Rice,Common,MarketA,1509,2260,1884
2025-01-05,Maharashtra,DistrictB,Tomato,Common,MarketB,1784,2552,2168
2025-01-05,Maharashtra,DistrictB,Potato,Common,MarketC,1136,1711,1423
2025-01-05,Maharashtra,DistrictB,Onion,Common,MarketC,2442,2840,2641
2025-01-05,Maharashtra,DistrictC,Wheat,Common,MarketB,1436,1945,1690
2025-01-05,Maharashtra,DistrictC,Rice,Common,MarketB,2304,2826,2565
2025-01-05,Maharashtra,DistrictC,Tomato,Common,MarketB,1941,2292,2116
2025-01-05,Maharashtra,DistrictC,Potato,Common,MarketC,2325,2802,2563
2025-01-05,Maharashtra,DistrictC,Onion,Common,MarketC,2031,2465,2248
2025-01-05,Bihar,DistrictA,Wheat,Common,MarketB,1560,2061,1810
